country,iso_code,population,generation_twh,solar_share,wind_share,solar_wind_share,fossil_share,low_carbon_share,carbon_intensity_gco2_kwh,demand_per_capita_kwh
Saint Vincent and the Grenadines,VCT,100630,0.15,0.0,0.0,0,86.67,13.33,600.0,1490.61
Samoa,WSM,218031,0.16,18.75,0.0,18.75,56.25,43.75,375.0,733.84
Saudi Arabia,SAU,33962751,454.64,1.81,0.35,2.16,97.84,2.16,691.95,13384.96
Senegal,SEN,18501988,7.63,8.91,5.37,14.29,80.21,19.79,539.97,439.41
Serbia,SRB,6736217,36.96,0.43,3.38,3.81,67.94,32.06,666.4,5563.95
Seychelles,SYC,130436,0.63,14.29,1.59,15.87,84.13,15.87,555.56,4829.95
Sierra Leone,SLE,8642029,0.21,9.52,0.0,9.52,4.76,95.24,47.62,24.3
Singapore,SGP,5832387,59.61,2.15,,2.15,95.07,4.93,498.74,10223.94
Slovakia,SVK,5506759,29.52,2.34,0.0,2.34,14.19,85.81,96.55,4824.98
Slovenia,SVN,2118692,16.71,7.6,0.06,7.66,23.94,76.06,230.4,6749.45
Solomon Islands,SLB,819206,0.11,9.09,0.0,9.09,90.91,9.09,636.36,134.28
Somalia,SOM,19009155,0.43,18.61,2.33,20.93,79.07,20.93,511.63,22.62
South Africa,ZAF,64007187,247.52,7.39,4.48,11.88,84.34,15.66,717.36,3846.76
South Korea,KOR,51717587,625.38,5.23,0.54,5.77,60.11,39.89,415.51,12092.21
South Sudan,SSD,11943410,0.56,1.79,0.0,1.79,98.21,1.79,642.86,46.89
Spain,ESP,47910533,280.94,20.75,22.14,42.89,23.25,76.75,146.22,5650.32
Sri Lanka,LKA,23103561,17.07,7.67,5.1,12.77,44.76,55.24,378.44,738.85
Sudan,SDN,50448960,14.77,1.08,0.0,1.08,20.31,79.69,153.69,308.63
Suriname,SUR,634438,1.74,0.57,0.0,0.57,47.13,52.87,321.84,2742.59
Sweden,SWE,10606993,172.15,2.42,23.5,25.91,1.21,98.79,34.91,13077.22
Switzerland,CHE,8921979,78.37,7.22,0.23,7.45,1.9,98.1,34.58,7169.93
Syria,SYR,24672758,24.88,0.4,0.0,0.4,96.46,3.54,706.19,984.08
Taiwan,TWN,23213964,288.56,5.16,3.58,8.74,84.86,15.14,635.19,12430.45
Tajikistan,TJK,10590930,22.2,0.0,0.0,0,5.41,94.59,71.17,1850.64
Tanzania,TZA,68560162,8.84,0.45,0.0,0.45,67.08,32.92,345.02,131.71
Thailand,THA,71668010,199.52,2.72,1.69,4.42,85.16,14.84,554.73,3236.17
Togo,TGO,8406554,0.71,18.31,0.0,18.31,70.42,29.58,422.54,262.89
Tonga,TON,104192,0.07,14.29,0.0,14.29,85.71,14.29,571.43,671.84
Trinidad and Tobago,TTO,1507778,9.55,0.1,0.0,0.1,99.89,0.1,681.68,6333.82
Tunisia,TUN,12277103,21.37,2.62,1.73,4.35,95.6,4.4,558.26,1951.6
Turkey,TUR,87473800,341.23,7.52,10.71,18.23,54.39,45.61,469.74,3889.62
Turkmenistan,TKM,7494494,33.01,0.0,0.0,0,99.97,0.03,1306.27,3203.68
Turks and Caicos Islands,TCA,46563,0.27,3.7,0.0,3.7,96.3,3.7,629.63,5798.6
Uganda,UGA,50015091,5.81,2.93,0.0,2.93,2.93,97.07,58.52,107.37
United Arab Emirates,ARE,11027135,177.26,8.58,0.11,8.69,68.27,31.73,467.51,16053.13
United Kingdom,GBR,69138185,284.16,5.21,29.31,34.51,35.07,64.93,216.5,4590.08
United States,USA,345426566,4391.02,6.92,10.29,17.21,58.13,41.87,383.78,12751.86
Uruguay,URY,3386583,13.37,4.19,38.59,42.78,1.12,98.88,69.56,4287.51
Uzbekistan,UZB,36361859,81.5,3.56,2.33,5.89,84.05,15.95,1040.12,2321.94
Venezuela,VEN,28405544,80.13,0.01,0.03,0.04,8.86,91.14,85.86,2820.93
Vietnam,VNM,100987685,303.58,8.52,4.2,12.72,57.72,42.28,484.32,3041.76
Yemen,YEM,40583173,5.25,11.24,0.0,11.24,88.76,11.24,592.38,129.36
Zambia,ZMB,21314962,19.72,0.86,0.0,0.86,12.53,87.47,119.68,778.8
Zimbabwe,ZWE,16634366,10.26,0.39,0.0,0.39,42.88,57.12,384.02,727.41
